TransactionID,TransactionAmount,MerchantID,UserID,TransactionTime,FraudIndicator,TransactionType,Location,TransactionFrequency,MerchantFrequency,TransactionHour
1,374602.6648,43,1087,01/01/2023 0:00,0,Online,Rural,7,1,0
2,950719.235,8,1011,01/01/2023 1:00,0,Online,Rural,3,0,1
3,732020.7424,13,1062,01/01/2023 2:00,0,In-store,Suburb,8,7,2
4,598698.6183,85,1084,01/01/2023 3:00,0,Online,City,10,3,3
5,156103.0386,92,1019,01/01/2023 4:00,0,In-store,City,8,3,4
6,156078.9209,35,1100,01/01/2023 5:00,0,Online,Suburb,7,3,5
7,58177.80381,23,1090,01/01/2023 6:00,0,Online,Rural,4,2,6
8,866189.5282,46,1074,01/01/2023 7:00,0,In-store,Suburb,2,3,7
9,601154.9002,15,1024,01/01/2023 8:00,0,Online,Rural,5,3,8
10,708101.7705,2,1013,01/01/2023 9:00,1,In-store,City,10,2,9
11,20682.43585,61,1046,01/01/2023 10:00,0,In-store,Suburb,6,2,10
12,969912.8612,76,1053,01/01/2023 11:00,0,Online,Suburb,7,3,11
13,832459.3965,64,1098,01/01/2023 12:00,0,In-store,Suburb,3,2,12
14,212417.8768,52,1029,01/01/2023 13:00,0,In-store,Rural,10,3,13
15,181906.7847,36,1036,01/01/2023 14:00,0,Online,Rural,6,4,14
16,183486.1694,67,1071,01/01/2023 15:00,0,In-store,City,3,4,15
17,304311.8187,69,1094,01/01/2023 16:00,0,In-store,Rural,7,5,16
18,524803.956,67,1017,01/01/2023 17:00,0,Online,Rural,3,1,17
19,432001.8241,47,1048,01/01/2023 18:00,0,In-store,Suburb,7,1,18
20,291300.0173,83,1077,01/01/2023 19:00,0,Online,City,6,5,19
21,611891.7094,2,1024,01/01/2023 20:00,0,In-store,City,2,5,20
22,139579.9113,44,1054,01/01/2023 21:00,0,Online,Suburb,7,2,21
23,292215.4341,64,1095,01/01/2023 22:00,0,In-store,Rural,4,7,22
24,366425.2071,81,1091,01/01/2023 23:00,0,In-store,Rural,0,7,23
25,456124.3772,78,1085,02/01/2023 0:00,0,Online,Suburb,4,4,0
26,785197.4438,28,1001,02/01/2023 1:00,0,In-store,Suburb,6,1,1
27,199753.8148,91,1079,02/01/2023 2:00,0,Online,Rural,9,0,2
28,514283.015,54,1067,02/01/2023 3:00,0,In-store,City,2,1,3
29,592455.3274,74,1006,02/01/2023 4:00,0,Online,Suburb,8,4,4
30,46545.76768,67,1078,02/01/2023 5:00,0,Online,Rural,2,1,5
31,607584.0974,36,1055,02/01/2023 6:00,0,In-store,Suburb,8,3,6
32,170607.0713,63,1038,02/01/2023 7:00,0,Online,City,6,2,7
33,65145.08783,25,1033,02/01/2023 8:00,0,Online,City,5,1,8
34,948890.6487,86,1008,02/01/2023 9:00,0,In-store,Rural,5,1,9
35,965635.4699,48,1090,02/01/2023 10:00,0,In-store,City,2,0,10
36,808416.5084,39,1079,02/01/2023 11:00,0,Online,Suburb,7,6,11
37,304683.3078,47,1078,02/01/2023 12:00,0,Online,City,3,4,12
38,97762.34679,94,1020,02/01/2023 13:00,0,Online,Rural,6,5,13
39,684264.6032,21,1055,02/01/2023 14:00,0,In-store,Suburb,4,4,14
40,440208.4785,30,1048,02/01/2023 15:00,0,Online,City,2,7,15
41,122126.031,92,1083,02/01/2023 16:00,0,Online,City,3,3,16
42,495227.3924,31,1056,02/01/2023 17:00,0,Online,City,5,2,17
43,34485.08226,26,1097,02/01/2023 18:00,0,In-store,Rural,9,4,18
44,,22,1100,02/01/2023 19:00,0,Online,Rural,5,6,19
45,258854.1036,21,1088,02/01/2023 20:00,0,Online,City,6,3,20
46,662556.0321,1,1010,02/01/2023 21:00,0,In-store,Suburb,7,1,21
47,311779.905,37,1052,02/01/2023 22:00,0,Online,City,4,1,22
48,520116.0144,77,1050,02/01/2023 23:00,0,In-store,Suburb,10,4,23
49,546755.6083,85,1034,03/01/2023 0:00,0,Online,Suburb,5,2,0
50,184935.9701,46,1036,03/01/2023 1:00,0,In-store,Rural,10,1,1
51,969587.6693,9,1061,03/01/2023 2:00,0,In-store,City,7,1,2
52,775155.3101,17,1100,03/01/2023 3:00,0,Online,Rural,2,2,3
53,939504.9917,47,1016,03/01/2023 4:00,0,Online,City,3,5,4
54,894837.8677,85,1079,03/01/2023 5:00,0,In-store,Suburb,5,1,5
55,597940.1888,95,1018,03/01/2023 6:00,0,In-store,Rural,2,5,6
56,921882.0476,59,1071,03/01/2023 7:00,0,Online,Rural,1,3,7
57,88583.6528,54,1047,03/01/2023 8:00,0,Online,Rural,3,3,8
58,196063.2641,86,1086,03/01/2023 9:00,0,In-store,Suburb,7,3,9
59,45322.76618,12,1032,03/01/2023 10:00,0,Online,Rural,8,4,10
60,325397.7977,64,1043,03/01/2023 11:00,0,Online,City,9,2,11
61,3133354.476,6,1083,03/01/2023 12:00,0,Online,City,4,1,12
62,271421.8969,53,1040,03/01/2023 13:00,0,Online,Suburb,0,3,13
63,828754.6354,16,1065,03/01/2023 14:00,0,In-store,Rural,5,4,14
64,356817.6514,90,1035,03/01/2023 15:00,0,Online,City,2,2,15
65,281006.4162,5,1069,03/01/2023 16:00,0,Online,Rural,7,2,16
66,542741.8135,73,1050,03/01/2023 17:00,0,In-store,City,4,1,17
67,141010.1326,46,1012,03/01/2023 18:00,0,In-store,Suburb,2,3,18
68,802216.7611,14,1076,03/01/2023 19:00,0,Online,City,3,4,19
69,74643.18862,44,1085,03/01/2023 20:00,0,Online,City,5,3,20
70,986888.2479,63,1058,03/01/2023 21:00,0,In-store,City,5,3,21
71,772267.5448,94,1083,03/01/2023 22:00,0,Online,Suburb,4,2,22
72,198795.81,52,1063,03/01/2023 23:00,0,In-store,City,6,2,23
73,5621.564912,26,1073,04/01/2023 0:00,0,Online,Suburb,8,4,0
74,815479.8823,53,1049,04/01/2023 1:00,0,Online,Suburb,5,2,1
75,706886.6581,29,1036,04/01/2023 2:00,0,Online,City,7,2,2
76,729034.2673,19,1054,04/01/2023 3:00,0,Online,Rural,1,3,3
77,771293.2197,47,1047,04/01/2023 4:00,0,Online,City,5,4,4
78,74137.24727,8,1032,04/01/2023 5:00,0,Online,Suburb,2,2,5
79,358529.882,23,1099,04/01/2023 6:00,1,In-store,Rural,4,3,6
80,115957.4726,35,1095,04/01/2023 7:00,0,Online,City,5,3,7
81,863117.1155,95,1053,04/01/2023 8:00,0,Online,City,4,2,8
82,623335.797,53,1032,04/01/2023 9:00,0,Online,City,5,5,9
83,330964.9351,99,1062,04/01/2023 10:00,0,Online,City,4,3,10
84,63651.99445,96,1037,04/01/2023 11:00,0,In-store,City,5,2,11
85,311051.2235,58,1096,04/01/2023 12:00,0,In-store,Rural,8,3,12
86,325250.8037,5,1038,04/01/2023 13:00,0,Online,City,3,1,13
87,729633.2177,16,1030,04/01/2023 14:00,0,Online,Suburb,5,3,14
88,637593.7156,17,1058,04/01/2023 15:00,0,In-store,Suburb,9,8,15
89,887224.0213,32,1032,04/01/2023 16:00,0,Online,Rural,8,4,16
90,472267.7037,96,1066,04/01/2023 17:00,0,Online,Suburb,8,4,17
91,119682.2865,52,1051,04/01/2023 18:00,0,In-store,Rural,2,1,18
